name,category,catalog_group,catalog_file,entry_anchor,availability,stat_baseline,cr,size,creature_type,ac,hp,speed,str,dex,con,int,wis,cha,habitat,elyndrian_regions,campaign_status,magical_dependency,dead_zone_behavior,recommended_party_levels,suitable_gate_city,strengths_advantages,weaknesses_disadvantages,damage_vulnerabilities,damage_resistances,damage_immunities,condition_immunities,senses,verification,physical_viability,connection_severance,dm_adjudication
Axe Beak,Natural Wildlife/Southern-Plains Wildlife,natural_ecology,catalog/natural_ecology/Southern_Plains_Wildlife.md,axe-beak,5e and 5.5e,Basic Rules (2014),1/4,Large,Beast,11,19,50 ft.,14,12,12,2,10,5,"Grassland, hill",Southern plains; farms; ranching regions,Natural,None,Functions normally.,1-2,Ravensport region,High speed; solid HP for CR; can be wild or domesticated,Low AC and mental scores; no special defenses,None,None,None,None,Normal senses unless noted,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Azer,Planar and Escaped/Minor Elemental Gate Creatures,gate_incursions,catalog/gate_incursions/Minor_Elemental_Gate_Creatures.md,azer,5e,Monster Manual (2014),2,Medium,Elemental,17,39,30 ft.,17,12,15,12,13,10,"Elemental planes, gate facilities",Ironforge industry; armed elemental travelers; forge raids,Planar elemental gate creature,Extreme,Magical elemental body collapses; leaves inert bronze-like body. Exact timing is set by the DM.,2-4,Ironforge; Ravensport; Faerindel,High AC; heated weapons/body; skilled and intelligent smith-warrior,No ranged attack in standard profile; elemental body dies in dead zones,None,None,"Fire, Poison",Poisoned,Darkvision 60 ft.; Passive Perception 10,Planning baseline; verify the selected owned D&D Beyond version before live play.,Not self-sustaining in a dead zone,"Summoning, binding, creator, and planar command links are severed immediately.",DM decides collapse timing and whether a core radius temporarily sustains it.
Barlgura,Planar and Escaped/Severe Gate Incursions,gate_incursions,catalog/gate_incursions/Severe_Gate_Incursions.md,barlgura,5e and 5.5e,Basic Rules (2014),5,Large,Fiend (Demon),15,68,"40 ft., climb 40 ft.",18,15,16,7,14,9,Abyss,Violent breach; distraction release; forest or industrial assault,Planar,High,"Teleportation, spell-like powers and magical defenses are suppressed; physical strength remains; drain applies.",5-7,Faerindel; Ironforge,Reckless grants attack advantage; Running Leap; climb; innate spells; broad defenses,Reckless grants attackers advantage; low Intelligence and Charisma; weakened in dead zones,None,"Cold, Fire, Lightning; Bludgeoning, Piercing, Slashing from nonmagical attacks",Poison,Poisoned,Blindsight 30 ft.; Darkvision 120 ft.; Passive Perception 15,Verified planning baseline,Physically self-sustaining,"Magical control, summoning, telepathy, tracking, or creator/master links are severed when present.",DM decides behavioral consequences after severance.
Basilisk,Planar and Escaped/Captured and Transported Monstrosities,planar_and_magical,catalog/planar_and_magical/Captured_and_Transported_Monstrosities.md,basilisk,5e and 5.5e,Basic Rules (2014),3,Medium,Monstrosity,15,52,20 ft.,16,8,15,2,8,7,"Mountain, underground",Collector; military research; escaped mountain specimen,Planar or escaped,Moderate,Petrifying Gaze is suppressed; bite and poison remain.,3-5,All,Petrifying Gaze outside dead zones; strong bite/poison; high natural AC,"Very slow; poor Dexterity, Intelligence and Wisdom; gaze can be avoided",None,None,None,None,Darkvision 60 ft.; Passive Perception 9,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Black Bear,Natural Wildlife/Wolves and Large Predators,natural_ecology,catalog/natural_ecology/Wolves_and_Large_Predators.md,black-bear,5e and 5.5e,Basic Rules (2014),1/2,Medium,Beast,11,19,"40 ft., climb 30 ft.",15,10,14,2,12,7,Forest,Central Forest Belt; Lake Aelorin Basin; eastern woodlands,Natural,None,Functions normally.,1-3,Faerindel; Ravensport,Advantage on smell-based Perception; climb speed; two physical attacks,"Low AC, Dexterity and mental scores; usually retreats when badly hurt",None,None,None,None,Passive Perception 13,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Black Pudding,Natural Ecology/Approved Nonmagical Oozes,natural_ecology,catalog/natural_ecology/Approved_Nonmagical_Oozes.md,black-pudding,5e and 5.5e,Basic Rules (2014),4,Large,Ooze,7,85,"20 ft., climb 20 ft.",16,5,16,1,6,1,"Underground, sewer, ruin",Mines; sewers; abandoned facilities; industrial drains; deep caverns,Approved unintelligent nonmagical organism,None,"Functions normally. Acid, engulfing, splitting, and corrosion are physical unless the DM rules a particular version otherwise.",4-6,Ironforge; Ravensport; Deepanvil,Corrosive Form; Spider Climb; splits; destroys equipment,"Very low AC, Dexterity, and Intelligence",None,None,"Acid, Cold, Lightning, Slashing","Blinded, Charmed, Deafened, Exhaustion, Frightened, Prone",Blindsight 60 ft. (blind beyond); Passive Perception varies,Planning baseline; verify the selected owned D&D Beyond version before live play.,Physically self-sustaining,None; oozes have no creator connection unless a specific encounter adds one.,DM determines encounter-specific exceptions.
Blink Dog,Planar and Escaped/Fey and Ethereal Predators,planar_and_magical,catalog/planar_and_magical/Fey_and_Ethereal_Predators.md,blink-dog,5e and 5.5e,Basic Rules (2014),1/4,Medium,Fey,13,22,40 ft.,12,17,12,10,13,11,"Forest, Feywild",Faerindel quarantine; gate forests; escaped guardian packs,Planar or escaped,High,Teleportation fails; magical-creature drain applies; bite and movement remain.,1-3 in packs,Faerindel,Teleport mobility; advantage on hearing/smell Perception; high Dexterity and Stealth,Teleport suppressed in dead zones; modest damage and HP,None,None,None,None,Passive Perception 13,Verified planning baseline,Physically self-sustaining,"Magical control, summoning, telepathy, tracking, or creator/master links are severed when present.",DM decides behavioral consequences after severance.
Blue Slaad,Planar and Escaped/Severe Gate Incursions,gate_incursions,catalog/gate_incursions/Severe_Gate_Incursions.md,blue-slaad,5e and 5.5e,Basic Rules (2014),7,Large,Aberration,15,123,30 ft.,20,15,18,7,7,9,Limbo,Containment outbreak; infected gate traveler; violent breach,Planar,High,Regeneration and Magic Resistance are suppressed; physical attacks remain; disease needs DM approval.,7-9,All,Regeneration; Magic Resistance advantage; broad elemental resistances; powerful melee and infection,Very poor Wisdom; no ranged attack; heavily reduced in dead zones,None,"Acid, Cold, Fire, Lightning, Thunder",None,None,Darkvision 60 ft.; Passive Perception 11,Verified planning baseline,Physically self-sustaining,"Magical control, summoning, telepathy, tracking, or creator/master links are severed when present.",DM decides behavioral consequences after severance.
Boar,Natural Wildlife/Hoofed Animals and Megafauna,natural_ecology,catalog/natural_ecology/Hoofed_Animals_and_Megafauna.md,boar,5e and 5.5e,Basic Rules (2014),1/4,Medium,Beast,11,11,40 ft.,13,11,12,2,9,5,"Forest, grassland, hill",Central forests; southern plains; Lake Aelorin Basin,Natural,None,Functions normally.,1-3 in groups,Faerindel; Ravensport,Charge; Relentless can prevent one knockout; good speed,"Low AC, Wisdom and Charisma; charge needs open distance",None,None,None,None,Normal senses unless noted,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Boggle,Planar and Escaped/Fey and Magical Wilderness Creatures,planar_and_magical,catalog/planar_and_magical/Fey_and_Magical_Wilderness_Creatures.md,boggle,5e,Volo’s Guide to Monsters,1/8,Small,Fey,14,18,"30 ft., climb 30 ft.",8,18,13,6,12,7,"Feywild, forest, wilderness",Faerindel; Central Forest Belt; gate-adjacent forests,"Planar visitor, resident, or escaped fey",Moderate,Dimensional rifts fail; physical body and naturally produced oil remain.,1-2,Faerindel,High Dexterity; slippery/sticky oil; climbs; creates spatial passages outside dead zones,"Low Strength, Intelligence, Charisma, and damage",None,None,None,None,Darkvision 60 ft.; Passive Perception varies,Planning baseline; verify the selected owned D&D Beyond version before live play.,Physically self-sustaining,"Magical creator, master, home-tree, or remote communication links are severed when present.",DM determines duration and secondary consequences.
Bone Devil,Planar and Escaped/Severe Gate Incursions,gate_incursions,catalog/gate_incursions/Severe_Gate_Incursions.md,bone-devil,5e and 5.5e,Basic Rules (2014),9,Large,Fiend (Devil),19,142,"40 ft., fly 40 ft.",18,16,18,13,14,16,Nine Hells,Disciplined commander; capture mission; severe breach,Planar,High,"Supernatural defenses are suppressed; physical flight, claws, sting and biological venom remain; drain applies.",9-11,All,Very high AC/HP; flight; long reach; poison; Magic Resistance advantage; intelligent tactics,Large target; weakened defenses in dead zones,None,"Cold; Bludgeoning, Piercing, Slashing from nonmagical attacks not silvered","Fire, Poison",Poisoned,Darkvision 120 ft.; Passive Perception 12,Verified planning baseline,Physically self-sustaining,"Magical control, summoning, telepathy, tracking, or creator/master links are severed when present.",DM decides behavioral consequences after severance.
Bronze Scout,Planar and Escaped/Clockwork Construct Adaptation Chassis,constructs_and_animated,catalog/constructs_and_animated/Clockwork_Construct_Adaptation_Chassis.md,bronze-scout,5e,Mordenkainen Presents: Monsters of the Multiverse,1,Medium,Construct,13,18,"30 ft., burrow 30 ft.",10,16,12,3,14,1,"Constructed, workshop, facility",Ironforge; Deepanvil; imported gate machinery,Official magical construct and possible chassis for a separate nonmagical Elyndrian variant,Extreme in official form,Official magical version becomes inert. A separately approved mechanical variant may function normally.,Varies by CR,Ironforge; Deepanvil,Burrowing scout; high Dexterity; lightning flare; compact form,Low HP and intelligence; official animation is magical,None,None,"Poison, Psychic","Charmed, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned",Darkvision 60 ft.; Passive Perception 10,Supplement planning chassis; verify exact owned D&D Beyond version before use.,Official version is not self-sustaining; a redesigned mechanical variant may be.,Official magical command and creator connections are severed. Mechanical programming would require a separate approved entry.,DM approval is required before treating any adaptation as nonmagical.
Brown Bear,Natural Wildlife/Wolves and Large Predators,natural_ecology,catalog/natural_ecology/Wolves_and_Large_Predators.md,brown-bear,5e and 5.5e,Basic Rules (2014),1,Large,Beast,11,34,"40 ft., climb 30 ft.",19,10,16,2,13,7,"Arctic, forest, hill",Northern Crown; Western Mountains; Lake Aelorin forests,Natural,None,Functions normally.,1-3,Faerindel; Ironforge,Advantage on smell Perception; strong multiattack; climbing,Low AC and Dexterity; poor mental saves; predictable territorial behavior,None,None,None,None,Passive Perception 13,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Bulette,"Natural Wildlife/Cavern, Mine and Burrowing Predators",natural_ecology,catalog/natural_ecology/Cavern_Mine_and_Burrowing_Predators.md,bulette,5e and 5.5e,Basic Rules (2014),5,Large,Monstrosity,17,94,"40 ft., burrow 40 ft.",19,11,21,2,10,5,"Grassland, hill, mountain",Western foothills; southern plains; mining roads,Natural,None,Functions normally.,5-7,Ironforge; Ravensport inland,High AC/HP; burrow speed; tremorsense; Standing Leap; deadly jump,Very low Intelligence and Charisma; poor ranged options,None,None,None,None,Darkvision 60 ft.; Tremorsense 60 ft.; Passive Perception 16,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Carrion Crawler,"Natural Wildlife/Cavern, Mine and Burrowing Predators",natural_ecology,catalog/natural_ecology/Cavern_Mine_and_Burrowing_Predators.md,carrion-crawler,5e and 5.5e,Basic Rules (2014),2,Large,Monstrosity,13,51,"30 ft., climb 30 ft.",14,13,16,1,12,5,"Underground, urban",Deepanvil tunnels; Ironforge underworks; sewers; ruins,Natural,None,Functions normally; paralysis is biological.,2-4,Ironforge,Paralyzing tentacles; Spider Climb; advantage on smell Perception,"Low AC, Intelligence and Charisma; limited ranged reach",None,None,None,None,Darkvision 60 ft.; Passive Perception 11,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Cave Fisher,"Natural Wildlife/Cavern, Mine and Burrowing Predators",natural_ecology,catalog/natural_ecology/Cavern_Mine_and_Burrowing_Predators.md,cave-fisher,5e,Mordenkainen Presents: Monsters of the Multiverse,3,Medium,Monstrosity,16,58,"20 ft., climb 20 ft.",16,13,13,3,10,3,Underdark,Large western caverns; Deepanvil restricted depths; abandoned mines,Natural cavern predator,None,Functions normally.,3-5,Ironforge,Long adhesive filament; Spider Climb; ceiling ambush; strong Stealth,"Fire exposure disrupts it; low Intelligence, Wisdom and Charisma",None,None,None,None,Darkvision 60 ft.; Passive Perception 12,Supplement baseline; verify owned D&D Beyond version before live play,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Chain Devil,Planar and Escaped/Severe Gate Incursions,gate_incursions,catalog/gate_incursions/Severe_Gate_Incursions.md,chain-devil,5e and 5.5e,Basic Rules (2014),8,Medium,Fiend (Devil),16,85,30 ft.,18,15,15,11,12,14,"Nine Hells, urban","Docks, cranes, chains, prisons, industrial attack",Planar,High,Animate Chains is suppressed; carried chains remain physical; drain applies.,8-10,Ironforge; Ravensport,Animate Chains; unnerving mask; Magic Resistance advantage; strong reach and restraint,Lower HP than many CR 8 creatures; loses defining ability in dead zones,None,"Cold; Bludgeoning, Piercing, Slashing from nonmagical attacks not silvered","Fire, Poison",Poisoned,Darkvision 120 ft.; Passive Perception 11,Verified planning baseline,Physically self-sustaining,"Magical control, summoning, telepathy, tracking, or creator/master links are severed when present.",DM decides behavioral consequences after severance.
Chasme,Planar and Escaped/Severe Gate Incursions,gate_incursions,catalog/gate_incursions/Severe_Gate_Incursions.md,chasme,5e and 5.5e,Basic Rules (2014),6,Large,Fiend (Demon),15,84,"20 ft., fly 60 ft.",15,15,12,11,14,10,Abyss,Quarantine building; sleeping quarters; civilian shelter incursion,Planar,High,Drone and magical defenses are suppressed; flight and proboscis remain; drain applies.,6-8,Ravensport; Faerindel,Drone can incapacitate; huge necrotic strike; Spider Climb; Magic Resistance advantage,Low Constitution/HP for CR; large target; dead-zone suppression,None,"Cold, Fire, Lightning; Bludgeoning, Piercing, Slashing from nonmagical attacks",Poison,Poisoned,Blindsight 60 ft.; Darkvision 120 ft.; Passive Perception 15,Verified planning baseline,Physically self-sustaining,"Magical control, summoning, telepathy, tracking, or creator/master links are severed when present.",DM decides behavioral consequences after severance.
Chuul,Planar and Escaped/Minor and Moderate Gate Incursions,gate_incursions,catalog/gate_incursions/Minor_and_Moderate_Gate_Incursions.md,chuul,5e and 5.5e,Basic Rules (2014),4,Large,Aberration,16,93,"30 ft., swim 30 ft.",19,10,16,5,11,5,"Coastal, swamp, underground",Aquatic gate incursion; containment tank escape; harbor predator,Planar or escaped,Low,"Physical attacks, swimming and paralysis remain; Sense Magic finds little in a dead zone.",4-6,Ravensport; Faerindel,High AC/HP; grappling pincers; paralytic tentacles; amphibious; detects magic,Low Dexterity and mental scores; no ranged attack,None,None,Poison,Poisoned,Darkvision 60 ft.; Passive Perception 14,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Clay Golem,Planar and Escaped/Magically Animated Constructs and Objects,constructs_and_animated,catalog/constructs_and_animated/Magically_Animated_Constructs_and_Objects.md,clay-golem,5e and 5.5e,Basic Rules (2014),9,Large,Construct,14,133,20 ft.,20,9,18,3,8,1,"Constructed, urban, facility",Ravensport trade; Ironforge workshops; Faerindel estates; gate facilities,Magically animated construct,Extreme,Animation ceases and it becomes inert shaped clay. Exact timing is set by the DM.,9-11,All,Acid absorption; Haste; high HP; Magic Resistance; powerful slam,Slow; berserk risk; extremely poor mental scores,None,None,"Acid, Poison, Psychic; Bludgeoning, Piercing, Slashing from nonmagical attacks not made with adamantine","Charmed, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned",Darkvision 60 ft.; Passive Perception varies,Planning baseline; verify the selected owned D&D Beyond version before live play.,Not self-sustaining in a dead zone,"Creator, amulet, telepathic, command, and stored-spell connections are severed immediately.",DM decides shutdown timing and whether a core radius sustains or restores animation.
Cockatrice,Planar and Escaped/Captured and Transported Monstrosities,planar_and_magical,catalog/planar_and_magical/Captured_and_Transported_Monstrosities.md,cockatrice,5e and 5.5e,Basic Rules (2014),1/2,Small,Monstrosity,11,27,"20 ft., fly 40 ft.",6,12,12,2,13,5,Grassland,Collectors; quarantine; small gate-animal escape,Planar or escaped,Moderate,Petrification is suppressed; normal bite and flight remain.,1-3,Ravensport; Faerindel,Flight; petrifying bite outside dead zones; darkvision,"Low AC, Strength and Intelligence; greatly weakened in dead zones",None,None,None,None,Darkvision 60 ft.; Passive Perception 11,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Crocodile,"Natural Wildlife/Aquatic, Wetland and Coastal Wildlife",natural_ecology,catalog/natural_ecology/Aquatic_Wetland_and_Coastal_Wildlife.md,crocodile,5e and 5.5e,Basic Rules (2014),1/2,Large,Beast,12,19,"20 ft., swim 30 ft.",15,10,13,2,10,5,"Coastal, swamp, urban waterways",Eastern Riverlands; southern wetlands; Azure waterways,Natural,None,Functions normally.,1-3,Ravensport,Grappling bite; Hold Breath; stealthy in water,Slow on land; low mental scores; vulnerable when pulled from water,None,None,None,None,Passive Perception 10,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Darkling,Planar and Escaped/Fey and Magical Wilderness Creatures,planar_and_magical,catalog/planar_and_magical/Fey_and_Magical_Wilderness_Creatures.md,darkling,5e,Volo’s Guide to Monsters,1/2,Small,Fey,14,13,30 ft.,9,16,12,10,12,10,"Feywild, forest, wilderness",Faerindel; Central Forest Belt; gate-adjacent forests,"Planar visitor, resident, or escaped fey",Moderate,Death-flash magic fails; physical attacks and light sensitivity remain.,1-3,Faerindel,High Dexterity and Stealth; blinding death flash outside dead zones,Low HP; sunlight sensitivity,None,None,None,None,Darkvision 60 ft.; Passive Perception varies,Planning baseline; verify the selected owned D&D Beyond version before live play.,Physically self-sustaining,"Magical creator, master, home-tree, or remote communication links are severed when present.",DM determines duration and secondary consequences.
Darkmantle,"Natural Wildlife/Cavern, Mine and Burrowing Predators",natural_ecology,catalog/natural_ecology/Cavern_Mine_and_Burrowing_Predators.md,darkmantle,5e and 5.5e,Basic Rules (2014),1/2,Small,Monstrosity,11,22,"10 ft., fly 30 ft.",16,12,13,2,10,5,Underground,Deep mines; sealed caverns; ventilation shafts,Natural cavern predator,Low,"Crush, flight and senses remain; magical Darkness Aura is suppressed.",1-3,Ironforge,False Appearance; blindsight; aerial attachment; darkness outside dead zones,Low AC and mental scores; blindsight fails while deafened,None,None,None,None,Blindsight 60 ft.; Passive Perception 10,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Death Dog,Planar and Escaped/Captured and Transported Monstrosities,planar_and_magical,catalog/planar_and_magical/Captured_and_Transported_Monstrosities.md,death-dog,5e and 5.5e,Basic Rules (2014),1,Medium,Monstrosity,12,39,40 ft.,15,14,14,3,13,6,Desert,Smuggled fighting animal; criminal guard; gate pack,Planar or escaped,None,Functions normally; disease is biological.,1-3,Ravensport; Ironforge,Two attacks; diseased bite; Two-Headed grants Perception advantage and save advantage against several conditions,Low AC and mental scores; no ranged attack,None,None,None,None,Darkvision 120 ft.; Passive Perception 15,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
